0.6111, 0.6491, 0.0863, 0.8414, 0.1252  0.0 0.0 1.0 1.0 0.0 1.0 
0.5889, 0.6097, 0.2091, 0.7927, 0.0343  0.0 0.0 1.0 1.0 0.0 1.0 
0.5889, 0.5981, 0.1826, 0.7429, 0.1243  0.0 0.0 1.0 1.0 0.0 1.0 
0.6000, 0.6322, 0.1285, 0.8429, 0.1123  0.0 0.0 1.0 1.0 0.0 1.0 
0.5778, 0.6205, 0.1337, 0.8559, 0.1069  0.0 0.0 1.0 1.0 0.0 1.0 
0.5556, 0.5669, 0.3699, 0.7631, 0.0805  0.0 0.0 1.0 1.0 1.0 0.0 
0.5111, 0.5402, 0.3895, 0.8114, 0.0573  0.0 0.0 1.0 1.0 1.0 0.0 
0.5111, 0.5517, 0.3698, 0.8544, 0.0387  0.0 0.0 1.0 1.0 1.0 0.0 
0.6333, 0.6341, 0.2797, 0.7604, 0.0771  0.0 0.0 1.0 1.0 1.0 0.0 
0.5667, 0.5684, 0.3832, 0.7399, 0.1065  0.0 0.0 1.0 1.0 1.0 0.0 
0.5000, 0.5402, 0.3912, 0.8258, 0.0449  0.0 0.0 1.0 1.0 1.0 0.0 
0.5778, 0.5811, 0.3926, 0.7123, 0.1153  0.0 0.0 1.0 1.0 1.0 0.0 
0.5667, 0.5815, 0.2970, 0.7510, 0.1093  0.0 0.0 1.0 1.0 1.0 0.0 
0.4667, 0.5196, 0.3955, 0.8572, 0.0258  0.0 0.0 1.0 1.0 1.0 0.0 
0.6000, 0.5386, 0.2703, 0.5145, 0.1395  0.0 0.0 1.0 1.0 1.0 1.0 
0.5333, 0.5488, 0.1408, 0.7569, 0.0813  0.0 0.0 1.0 1.0 1.0 1.0 
0.6111, 0.5669, 0.2175, 0.5457, 0.1236  0.0 0.0 1.0 1.0 1.0 1.0 
0.5778, 0.5464, 0.2076, 0.5388, 0.1440  0.0 0.0 1.0 1.0 1.0 1.0 
0.5111, 0.5305, 0.1704, 0.7174, 0.0814  0.0 0.0 1.0 1.0 1.0 1.0 
0.5778, 0.5355, 0.3060, 0.5107, 0.1619  0.0 0.0 1.0 1.0 1.0 1.0 
0.5111, 0.5064, 0.1965, 0.7497, 0.0783  0.0 0.0 1.0 1.0 1.0 1.0 
0.5889, 0.5234, 0.2892, 0.4926, 0.1615  0.0 0.0 1.0 1.0 1.0 1.0 
0.5222, 0.5146, 0.2005, 0.7136, 0.0835  0.0 0.0 1.0 1.0 1.0 1.0 
0.4444, 0.3966, 0.3825, 0.7181, 0.0436  0.0 1.0 0.0 0.0 0.0 0.0 
0.7333, 0.6892, 0.1115, 0.4597, 0.2053  0.0 1.0 0.0 0.0 0.0 0.0 
0.7444, 0.7089, 0.0948, 0.5162, 0.1643  0.0 1.0 0.0 0.0 0.0 0.0 
0.7778, 0.7712, 0.3745, 0.6849, 0.0620  0.0 1.0 0.0 0.0 0.0 0.0 
0.7889, 0.7983, 0.3545, 0.6890, 0.0626  0.0 1.0 0.0 0.0 0.0 0.0 
0.4889, 0.4746, 0.3395, 0.7708, 0.0493  0.0 1.0 0.0 0.0 0.0 0.0 
0.7111, 0.6312, 0.2155, 0.3966, 0.2410  0.0 1.0 0.0 0.0 0.0 0.0 
0.7444, 0.6958, 0.1038, 0.4472, 0.2050  0.0 1.0 0.0 0.0 0.0 0.0 
